Data,Cliques,Impressões,CTR,Posição
2025-03-06,193,4563,4.23%,15.3
2025-03-07,160,4246,3.77%,16
2025-03-08,169,4394,3.85%,15.9
2025-03-09,302,6422,4.7%,11.8
2025-03-10,368,7432,4.95%,10.6
2025-03-11,274,6960,3.94%,19
2025-03-12,214,5183,4.13%,12.3
2025-03-13,224,4717,4.75%,13.3
2025-03-14,148,4116,3.6%,13.4
2025-03-15,195,4298,4.54%,12.9
2025-03-16,231,4951,4.67%,11.8
2025-03-17,227,5171,4.39%,12.5
2025-03-18,223,5027,4.44%,16.8
2025-03-19,189,4662,4.05%,14.3
2025-03-20,167,4748,3.52%,15.3
2025-03-21,174,4512,3.86%,13.6
2025-03-22,192,4560,4.21%,12.9
2025-03-23,204,4846,4.21%,13.7
2025-03-24,149,4663,3.2%,15.1
2025-03-25,166,4297,3.86%,14.4
2025-03-26,137,4109,3.33%,15.1
2025-03-27,143,3854,3.71%,15.4
2025-03-28,138,3348,4.12%,16.1
2025-03-29,118,3263,3.62%,15.5
2025-03-30,129,3755,3.44%,13.3
2025-03-31,143,3790,3.77%,13.4
2025-04-01,145,3794,3.82%,14.4
2025-04-02,157,4106,3.82%,17
2025-04-03,127,3690,3.44%,14.2
2025-04-04,124,3543,3.5%,14.8
2025-04-05,115,3167,3.63%,14.9
2025-04-06,141,3702,3.81%,13.7
2025-04-07,134,3609,3.71%,14.4
2025-04-08,123,3762,3.27%,15.4
2025-04-09,108,3614,2.99%,17.7
2025-04-10,106,4614,2.3%,22.1
2025-04-11,103,3584,2.87%,15.2
2025-04-12,128,3457,3.7%,15.8
2025-04-13,159,3904,4.07%,15.6
2025-04-14,155,3978,3.9%,15.3
2025-04-15,139,3723,3.73%,16
2025-04-16,135,3634,3.71%,14.8
2025-04-17,121,3150,3.84%,18.2
2025-04-18,136,3452,3.94%,15.9
2025-04-19,143,3416,4.19%,17.2
2025-04-20,149,3947,3.78%,16
2025-04-21,140,3996,3.5%,15.2
2025-04-22,143,3642,3.93%,15.8
2025-04-23,130,3737,3.48%,17.4
2025-04-24,101,3502,2.88%,18.2
2025-04-25,101,3498,2.89%,17.2
2025-04-26,103,3541,2.91%,16.9
2025-04-27,132,3919,3.37%,17.2
2025-04-28,46,1938,2.37%,22.6
2025-04-29,97,3306,2.93%,19.4
2025-04-30,101,3188,3.17%,17.3
2025-05-01,128,3423,3.74%,15.4
2025-05-02,95,3457,2.75%,16.6
2025-05-03,105,3589,2.93%,18
2025-05-04,138,3754,3.68%,14.4
2025-05-05,149,4090,3.64%,20.1
2025-05-06,95,3498,2.72%,17.8
2025-05-07,110,3406,3.23%,16.3
2025-05-08,95,3064,3.1%,17
2025-05-09,73,3125,2.34%,17.1
2025-05-10,98,3103,3.16%,16.5
2025-05-11,143,3589,3.98%,15.9
2025-05-12,126,4040,3.12%,17.5
2025-05-13,116,3571,3.25%,16.5
2025-05-14,119,3467,3.43%,15.8
2025-05-15,102,3575,2.85%,20.4
2025-05-16,85,2742,3.1%,17
2025-05-17,80,2537,3.15%,17.6
2025-05-18,94,2986,3.15%,15.7
2025-05-19,88,3167,2.78%,17.6
2025-05-20,107,3422,3.13%,19.3
2025-05-21,82,3134,2.62%,18.1
2025-05-22,106,3110,3.41%,16.8
2025-05-23,82,2959,2.77%,18.8
2025-05-24,81,2701,3%,18.4
2025-05-25,97,3137,3.09%,19.4
2025-05-26,87,3432,2.53%,16.3
2025-05-27,105,3273,3.21%,16.9
2025-05-28,95,3236,2.94%,17.5
2025-05-29,102,3133,3.26%,19
2025-05-30,67,2562,2.62%,19.4
2025-05-31,102,2586,3.94%,20.9
2025-06-01,103,3169,3.25%,19.8
2025-06-02,97,3252,2.98%,19
2025-06-03,83,3746,2.22%,21.9
2025-06-04,109,3589,3.04%,23.4
2025-06-05,86,3060,2.81%,18.5
2025-06-06,88,3006,2.93%,21.3
2025-06-07,101,3011,3.35%,20.7
2025-06-08,75,3052,2.46%,19.3
2025-06-09,87,2996,2.9%,17.6
2025-06-10,105,4668,2.25%,24
2025-06-11,91,3392,2.68%,18.9
2025-06-12,100,3222,3.1%,18
2025-06-13,88,2784,3.16%,18.2
2025-06-14,93,2847,3.27%,17.1
2025-06-15,114,3283,3.47%,16.5
2025-06-16,108,3176,3.4%,17.1
2025-06-17,92,3157,2.91%,17
2025-06-18,98,3072,3.19%,18.3
2025-06-19,79,3170,2.49%,17.4
2025-06-20,96,2830,3.39%,19.1
2025-06-21,70,2933,2.39%,22.8
2025-06-22,99,2219,4.46%,19.5
2025-06-23,69,2063,3.34%,26.1
2025-06-24,52,1544,3.37%,24.4
2025-06-25,33,1068,3.09%,27
2025-06-26,27,916,2.95%,29.5
2025-06-27,13,591,2.2%,33.1
2025-06-28,12,397,3.02%,31.4
2025-06-29,14,542,2.58%,46.9
2025-06-30,10,417,2.4%,33.8
2025-07-01,5,428,1.17%,33.6
2025-07-02,8,403,1.99%,37.5
2025-07-03,14,473,2.96%,35.5
2025-07-04,29,1680,1.73%,46.2
2025-07-05,29,1854,1.56%,47.7
2025-07-06,52,2271,2.29%,43.2
2025-07-07,64,2615,2.45%,39.5
2025-07-08,87,2976,2.92%,29.3
2025-07-09,108,3089,3.5%,17.8
2025-07-10,110,3004,3.66%,15.6
2025-07-11,133,3275,4.06%,16.2
2025-07-12,170,3342,5.09%,15.2
2025-07-13,206,5140,4.01%,18.8
2025-07-14,165,4094,4.03%,13.8
2025-07-15,181,4369,4.14%,14.8
2025-07-16,194,4158,4.67%,13.5
2025-07-17,140,3946,3.55%,13.6
2025-07-18,149,3849,3.87%,14.5
2025-07-19,154,3742,4.12%,14.1
2025-07-20,214,4911,4.36%,14.3
2025-07-21,218,4980,4.38%,12.2
2025-07-22,198,5009,3.95%,14.3
2025-07-23,187,4739,3.95%,14.7
2025-07-24,173,4666,3.71%,13.9
2025-07-25,168,4321,3.89%,17.2
2025-07-26,114,3983,2.86%,14.7
2025-07-27,192,4621,4.15%,15.2
2025-07-28,195,4964,3.93%,13.2
2025-07-29,189,4719,4.01%,14
2025-07-30,183,4545,4.03%,13.9
2025-07-31,162,4086,3.96%,14.2
2025-08-01,154,3895,3.95%,13.4
2025-08-02,164,3837,4.27%,12.7
2025-08-03,194,4191,4.63%,12.7
2025-08-04,204,4832,4.22%,15
2025-08-05,167,4734,3.53%,14.6
2025-08-06,180,4680,3.85%,12.3
2025-08-07,168,4915,3.42%,13.5
2025-08-08,164,4172,3.93%,13
2025-08-09,162,4169,3.89%,12.3
2025-08-10,232,4543,5.11%,11.8
2025-08-11,171,4711,3.63%,12
2025-08-12,161,5533,2.91%,17
2025-08-13,170,4796,3.54%,12.6
2025-08-14,163,4169,3.91%,13.3
2025-08-15,101,3997,2.53%,13.7
2025-08-16,115,3882,2.96%,13.5
2025-08-17,153,4346,3.52%,11.7
2025-08-18,167,4789,3.49%,11.3
2025-08-19,155,4711,3.29%,12
2025-08-20,185,5100,3.63%,12.3
2025-08-21,164,4863,3.37%,13.2
2025-08-22,154,4416,3.49%,13.6
2025-08-23,151,4089,3.69%,12
2025-08-24,167,5303,3.15%,16.5
2025-08-25,159,4950,3.21%,13.1
2025-08-26,182,5151,3.53%,14.6
2025-08-27,180,4802,3.75%,13
2025-08-28,156,4616,3.38%,14.1
2025-08-29,169,4298,3.93%,14.8
2025-08-30,126,3887,3.24%,14.8
2025-08-31,169,4611,3.67%,13.8
2025-09-01,134,4485,2.99%,13.6
2025-09-02,143,4635,3.09%,16.7
2025-09-03,147,4403,3.34%,16
2025-09-04,176,4294,4.1%,14.2
2025-09-05,145,3881,3.74%,14.1
2025-09-06,116,3660,3.17%,13.8
2025-09-07,130,4252,3.06%,13.2
2025-09-08,107,4041,2.65%,13.8
2025-09-09,145,4174,3.47%,14.9
2025-09-10,118,3756,3.14%,12.5
2025-09-11,107,3676,2.91%,13.8
2025-09-12,74,3078,2.4%,10.1
2025-09-13,102,2958,3.45%,8.1
2025-09-14,127,3493,3.64%,8.3
2025-09-15,131,3702,3.54%,9
2025-09-16,104,3330,3.12%,7.6
2025-09-17,99,3189,3.1%,7.7
2025-09-18,99,3228,3.07%,7.4
2025-09-19,100,3001,3.33%,8.5
2025-09-20,88,2862,3.07%,7.2
2025-09-21,119,3413,3.49%,7.3
2025-09-22,129,3552,3.63%,7.2
2025-09-23,110,3374,3.26%,8
2025-09-24,116,3469,3.34%,7.9
2025-09-25,89,3098,2.87%,7.6
2025-09-26,83,2755,3.01%,8.5
2025-09-27,72,2479,2.9%,8.2
2025-09-28,91,3254,2.8%,8.3
2025-09-29,84,3188,2.63%,8.9
2025-09-30,96,2987,3.21%,8.9
2025-10-01,84,2994,2.81%,9
2025-10-02,91,3069,2.97%,8.3
2025-10-03,82,2537,3.23%,9.4
2025-10-04,75,2645,2.84%,8.6
2025-10-05,86,2798,3.07%,9.1
2025-10-06,96,2587,3.71%,9
2025-10-07,70,2346,2.98%,9.7
2025-10-08,69,2475,2.79%,11.1
2025-10-09,78,2267,3.44%,9.9
2025-10-10,52,2008,2.59%,9.6
2025-10-11,44,1978,2.22%,9.5
2025-10-12,54,2173,2.49%,9.2
2025-10-13,65,2246,2.89%,9.4
2025-10-14,54,2231,2.42%,10.7
2025-10-15,56,2088,2.68%,9.9
2025-10-16,40,2018,1.98%,11.1
2025-10-17,32,1810,1.77%,10.4
2025-10-18,42,3296,1.27%,25.4
2025-10-19,68,2262,3.01%,8.8
2025-10-20,77,2270,3.39%,9.6
2025-10-21,56,2076,2.7%,9.9
2025-10-22,57,2026,2.81%,10.6
2025-10-23,34,2081,1.63%,9.3
2025-10-24,48,2160,2.22%,9.8
2025-10-25,52,2118,2.46%,9
2025-10-26,62,2386,2.6%,8.6
2025-10-27,53,2163,2.45%,9.5
2025-10-28,52,2408,2.16%,8.9
2025-10-29,51,2151,2.37%,9.9
2025-10-30,39,2128,1.83%,9.1
2025-10-31,38,2213,1.72%,9.4
2025-11-01,50,2415,2.07%,8.8
2025-11-02,70,2803,2.5%,8.3
2025-11-03,79,2714,2.91%,8.1
2025-11-04,60,2500,2.4%,8.7
2025-11-05,57,2382,2.39%,8.6
2025-11-06,37,2271,1.63%,9.9
2025-11-07,37,2215,1.67%,9.8
2025-11-08,31,1904,1.63%,9
2025-11-09,48,2579,1.86%,13.9
2025-11-10,51,2286,2.23%,8.4
2025-11-11,44,2422,1.82%,8.4
2025-11-12,44,2510,1.75%,8.1
2025-11-13,48,2519,1.91%,8
2025-11-14,64,2251,2.84%,8.4
2025-11-15,45,2475,1.82%,7.8
2025-11-16,55,2752,2%,8.9
2025-11-17,64,2451,2.61%,8.8
2025-11-18,50,2367,2.11%,9
2025-11-19,55,2255,2.44%,7.9
2025-11-20,35,2255,1.55%,8.3
2025-11-21,41,2219,1.85%,7
2025-11-22,34,2193,1.55%,7.7
2025-11-23,48,2899,1.66%,7
2025-11-24,43,3077,1.4%,7.1
2025-11-25,38,2743,1.39%,6.8
2025-11-26,42,2690,1.56%,8.7
2025-11-27,44,2576,1.71%,7.3
2025-11-28,35,2210,1.58%,6.8
2025-11-29,27,2168,1.25%,7.5
2025-11-30,56,2683,2.09%,7.3
2025-12-01,47,2862,1.64%,6.5
2025-12-02,56,3042,1.84%,6.4
2025-12-03,59,2870,2.06%,6.9
2025-12-04,46,2602,1.77%,7.4
2025-12-05,25,2141,1.17%,8.1
2025-12-06,35,2275,1.54%,9.4
2025-12-07,50,2457,2.04%,7.5
2025-12-08,44,2820,1.56%,9.2
2025-12-09,40,3070,1.3%,7.6
2025-12-10,48,2603,1.84%,7.7
2025-12-11,45,2530,1.78%,8.4
2025-12-12,37,3269,1.13%,17.4
2025-12-13,41,2427,1.69%,14.5
2025-12-14,36,2300,1.57%,8.8
2025-12-15,42,2490,1.69%,9.5
2025-12-16,28,2148,1.3%,8.9
2025-12-17,44,2011,2.19%,7.9
2025-12-18,30,1998,1.5%,8.6
2025-12-19,40,1830,2.19%,10.1
2025-12-20,29,1804,1.61%,9.9
2025-12-21,42,2219,1.89%,8.2
2025-12-22,23,2154,1.07%,12.1
2025-12-23,19,1598,1.19%,9.1
2025-12-24,14,1170,1.2%,11
2025-12-25,31,1909,1.62%,9.2
2025-12-26,53,2404,2.2%,7.8
2025-12-27,65,2675,2.43%,8.5
2025-12-28,47,2813,1.67%,7.9
2025-12-29,43,2684,1.6%,9.6
2025-12-30,44,2414,1.82%,10.4
2025-12-31,30,1544,1.94%,9.6
2026-01-01,61,2465,2.47%,8.3
2026-01-02,85,3202,2.65%,7.6
2026-01-03,57,2839,2.01%,7
2026-01-04,59,3153,1.87%,7.5
2026-01-05,63,2953,2.13%,9.1
2026-01-06,51,2776,1.84%,7.9
2026-01-07,44,2735,1.61%,7.6
2026-01-08,62,2585,2.4%,7.7
2026-01-09,57,2833,2.01%,8.4
2026-01-10,46,3498,1.32%,15.5
2026-01-11,67,3189,2.1%,8.3
2026-01-12,62,3057,2.03%,7.4
2026-01-13,54,3086,1.75%,8.5
2026-01-14,40,2612,1.53%,7.5
2026-01-15,33,2190,1.51%,7.3
2026-01-16,13,1509,0.86%,10.3
2026-01-17,38,2043,1.86%,9.2
2026-01-18,44,2735,1.61%,9.1
2026-01-19,69,2745,2.51%,8.4
2026-01-20,62,3054,2.03%,9.3
2026-01-21,51,2864,1.78%,9.2
2026-01-22,60,3089,1.94%,8
2026-01-23,45,2959,1.52%,7.7
2026-01-24,86,3383,2.54%,8.2
2026-01-25,110,4028,2.73%,7.3
2026-01-26,104,3770,2.76%,6.5
2026-01-27,52,3760,1.38%,8.2
2026-01-28,79,3620,2.18%,6.9
2026-01-29,74,3780,1.96%,6.5
2026-01-30,58,3329,1.74%,7.5
2026-01-31,54,3197,1.69%,7.6
2026-02-01,63,4051,1.56%,6.3
2026-02-02,67,3690,1.82%,6.5
2026-02-03,54,4034,1.34%,5.8
2026-02-04,57,3792,1.5%,6.2
2026-02-05,48,3604,1.33%,9.2
2026-02-06,49,2967,1.65%,8.1
2026-02-07,56,2981,1.88%,6.3
2026-02-08,67,3318,2.02%,7.1
2026-02-09,54,3269,1.65%,6.7
2026-02-10,65,3782,1.72%,7.7
2026-02-11,45,2940,1.53%,7.3
2026-02-12,42,3062,1.37%,11.4
2026-02-13,50,2807,1.78%,7.3
2026-02-14,48,2717,1.77%,7.4
2026-02-15,53,3382,1.57%,7.6
2026-02-16,64,3369,1.9%,6.4
2026-02-17,76,3384,2.25%,7
2026-02-18,55,3010,1.83%,6.5
2026-02-19,79,3238,2.44%,6.9
2026-02-20,66,3291,2.01%,7.1
2026-02-21,67,2790,2.4%,7.3
2026-02-22,51,2882,1.77%,7.2
2026-02-23,83,3154,2.63%,9.2
2026-02-24,79,2931,2.7%,8.5
2026-02-25,72,2668,2.7%,8.1
2026-02-26,60,2309,2.6%,8.2
2026-02-27,48,2091,2.3%,9.3
2026-02-28,48,1866,2.57%,10.5
2026-03-01,56,2014,2.78%,8.8
2026-03-02,70,2566,2.73%,8.2
2026-03-03,63,2247,2.8%,9.1
2026-03-04,61,2135,2.86%,9.7
2026-03-05,48,2142,2.24%,9.5
2026-03-06,48,1844,2.6%,10.8
2026-03-07,45,1729,2.6%,10.6
2026-03-08,43,1653,2.6%,9.9
2026-03-09,46,2461,1.87%,11.9
2026-03-10,36,1940,1.86%,8.9
2026-03-11,41,1636,2.51%,9.1
2026-03-12,45,1631,2.76%,9.3
2026-03-13,47,1811,2.6%,9.3
2026-03-14,45,1951,2.31%,9.1
2026-03-15,57,2382,2.39%,8.9
2026-03-16,55,2552,2.16%,8.4
2026-03-17,55,2370,2.32%,7.9
2026-03-18,43,2211,1.94%,7.5
2026-03-19,36,2023,1.78%,8
2026-03-20,34,1957,1.74%,8.1
2026-03-21,25,1707,1.46%,9.1
2026-03-22,53,1941,2.73%,9.2
2026-03-23,47,1993,2.36%,7.6
2026-03-24,43,2069,2.08%,5.8
2026-03-25,42,2358,1.78%,6.9
2026-03-26,50,2080,2.4%,7.6
2026-03-27,43,1782,2.41%,8
2026-03-28,38,1769,2.15%,7.7
2026-03-29,54,2019,2.67%,6.5
2026-03-30,43,2232,1.93%,6.6
2026-03-31,50,2107,2.37%,7.1
2026-04-01,55,1961,2.8%,7.3
2026-04-02,38,1730,2.2%,7.1
2026-04-03,38,1948,1.95%,6.7
